Imagem,Matriz,RMSE,PSNR,Correlacao
fuji_cinza,floyd_steinberg,110.33442687988281,7.276578449987696,0.45362731310736604
fuji_cinza,stevenson_arce,105.53131103515625,7.663175129675196,0.5311738435902247
fuji_cinza,burkes,109.01905822753906,7.380754017614649,0.47526830436255807
fuji_cinza,sierra,107.3752212524414,7.5127158401244145,0.5019630933504466
fuji_cinza,stucki,107.85347747802734,7.474118733190821,0.49406487269647426
fuji_cinza,jarvis_judice_ninke,107.14713287353516,7.531190418981836,0.5053988039143773
fuji_cinza,custom,109.7971420288086,7.318978810095118,0.4623170313035606
monalisa,floyd_steinberg,111.6436996459961,7.174115681433008,0.41817030261834764
monalisa,stevenson_arce,110.1010513305664,7.294969105505274,0.4435658181766139
monalisa,burkes,111.38460540771484,7.1942954299681645,0.4223193981436524
monalisa,sierra,110.77676391601562,7.241826557897852,0.4325156646794384
monalisa,stucki,111.00363159179688,7.224053883337305,0.4286508414112512
monalisa,jarvis_judice_ninke,110.67012786865234,7.250196003698633,0.43432999664143734
monalisa,custom,111.50657653808594,7.184793019079493,0.42029470811636754
degrade_radial,floyd_steinberg,107.25738525390625,7.522260212683008,0.4482603988431719
degrade_radial,stevenson_arce,107.1776351928711,7.528714680456446,0.4497639732230824
degrade_radial,burkes,107.23445892333984,7.524114155554102,0.44866765471518005
degrade_radial,sierra,107.21519470214844,7.525674366735743,0.4490651050941095
degrade_radial,stucki,107.20983123779297,7.526105427526758,0.44909720865649605
degrade_radial,jarvis_judice_ninke,107.21470642089844,7.5257163284056645,0.44911497953621043
degrade_radial,custom,107.24467468261719,7.523282551550196,0.44853185271343937
fuji,floyd_steinberg,107.87586212158203,7.47231438138418,0.5139822430852021
fuji,stevenson_arce,102.6720199584961,7.901761555456446,0.5841759074621748
fuji,burkes,106.4790267944336,7.585523152136133,0.5331763428164074
fuji,sierra,104.92139434814453,7.713517689489649,0.5542864135296255
fuji,stucki,105.26101684570312,7.685452961706446,0.5496597120497632
fuji,jarvis_judice_ninke,104.55609130859375,7.743817829870508,0.5591853071019591
fuji,custom,107.20769500732422,7.526284718298243,0.5231523449722555
