Image,Dimensions,Kernel,RMSE,PSNR,Correlation
seagull,512x512,floyd_steinberg,105.90595245361328,7.632394337438868,0.3824208902312682
seagull,512x512,stevenson_arce,104.77125549316406,7.725957417272852,0.40371578909016387
seagull,512x512,burkes,105.68152618408203,7.650819325231836,0.3864083919090059
seagull,512x512,sierra,105.33810424804688,7.679090046667383,0.3930109709115524
seagull,512x512,stucki,105.41610717773438,7.672662281774805,0.39143140534810117
seagull,512x512,jarvis_judice_ninke,105.2720947265625,7.684537434362696,0.39432429221660403
fuji_cinza,225x225,floyd_steinberg,110.33442687988281,7.276578449987696,0.45362731310736604
fuji_cinza,225x225,stevenson_arce,105.53131103515625,7.663175129675196,0.5311738435902247
fuji_cinza,225x225,burkes,109.01905822753906,7.380754017614649,0.47526830436255807
fuji_cinza,225x225,sierra,107.3752212524414,7.5127158401244145,0.5019630933504466
fuji_cinza,225x225,stucki,107.85347747802734,7.474118733190821,0.49406487269647426
fuji_cinza,225x225,jarvis_judice_ninke,107.14713287353516,7.531190418981836,0.5053988039143773
fuji,225x225,floyd_steinberg,107.87586212158203,7.47231438138418,0.5139822430852021
fuji,225x225,stevenson_arce,102.6720199584961,7.901761555456446,0.5841759074621748
fuji,225x225,burkes,106.4790267944336,7.585523152136133,0.5331763428164074
fuji,225x225,sierra,104.92139434814453,7.713517689489649,0.5542864135296255
fuji,225x225,stucki,105.26101684570312,7.685452961706446,0.5496597120497632
fuji,225x225,jarvis_judice_ninke,104.55609130859375,7.743817829870508,0.5591853071019591
baboon_colorida,512x512,floyd_steinberg,112.15885162353516,7.134130024694727,0.47688584910705145
baboon_colorida,512x512,stevenson_arce,105.50460815429688,7.665372395300196,0.5779698912838087
baboon_colorida,512x512,burkes,109.8643798828125,7.313661122106836,0.5124389475942794
baboon_colorida,512x512,sierra,107.5479507446289,7.498761677526758,0.5475878027798772
baboon_colorida,512x512,stucki,108.04379272460938,7.458806538366602,0.5401277325742978
baboon_colorida,512x512,jarvis_judice_ninke,107.10887145996094,7.534295582556055,0.5541660700429112
baboon_monocromatica,512x512,floyd_steinberg,118.47020721435547,6.658616566442774,0.37157683999122515
baboon_monocromatica,512x512,stevenson_arce,112.45732116699219,7.1110434768431645,0.5003099869870911
baboon_monocromatica,512x512,burkes,116.6526107788086,6.792909168981836,0.41120116797300166
baboon_monocromatica,512x512,sierra,114.5262222290039,6.952703022741602,0.4567730043584955
baboon_monocromatica,512x512,stucki,114.9854965209961,6.917939686559961,0.44700181960632396
baboon_monocromatica,512x512,jarvis_judice_ninke,114.13957214355469,6.9820761916869145,0.46497229633520426
waterfall,843x1068,floyd_steinberg,107.14452362060547,7.531400227331446,0.45744074347507474
waterfall,843x1068,stevenson_arce,102.17254638671875,7.94411613919668,0.5400708768355506
waterfall,843x1068,burkes,105.48005676269531,7.667394184850977,0.485547018777752
waterfall,843x1068,sierra,103.75116729736328,7.810941242956446,0.5144154988817083
waterfall,843x1068,stucki,104.1856460571289,7.774644398474024,0.5071703419105147
waterfall,843x1068,jarvis_judice_ninke,103.40180969238281,7.840238117956446,0.5201806690542397
esfera_256,256x256,floyd_steinberg,107.02526092529297,7.541074299597071,0.44793887178016045
esfera_256,256x256,stevenson_arce,106.71759033203125,7.566079640173243,0.45469056662878105
esfera_256,256x256,burkes,106.9544677734375,7.546819233679102,0.4496175999342508
esfera_256,256x256,sierra,106.90167999267578,7.551114582800196,0.45090802712528727
esfera_256,256x256,stucki,106.91236114501953,7.550244831823633,0.45062218314530217
esfera_256,256x256,jarvis_judice_ninke,106.90086364746094,7.551179432653711,0.4510717414528392
noise_512_RGB,512x512,floyd_steinberg,84.64192199707031,9.57909157254629,0.7722336368430375
noise_512_RGB,512x512,stevenson_arce,77.27474212646484,10.37005379178457,0.8355197980877409
noise_512_RGB,512x512,burkes,79.70801544189453,10.10075905301504,0.8152542363893368
noise_512_RGB,512x512,sierra,77.4456558227539,10.350862049841211,0.8341168199826939
noise_512_RGB,512x512,stucki,77.6569595336914,10.327195668005274,0.8323780085447949
noise_512_RGB,512x512,jarvis_judice_ninke,77.0937271118164,10.390424275183008,0.8370022483025678
noise_512,512x512,floyd_steinberg,84.60138702392578,9.583253407263086,0.7725696796989884
noise_512,512x512,stevenson_arce,77.22474670410156,10.375672840856836,0.8358921784176453
noise_512,512x512,burkes,79.74943542480469,10.09625008084707,0.8148696531887708
noise_512,512x512,sierra,77.49398040771484,10.345441365026758,0.8336825583792382
noise_512,512x512,stucki,77.65752410888672,10.327130818151758,0.8323366227706341
noise_512,512x512,jarvis_judice_ninke,77.08340454101562,10.391587757849024,0.8370491661795992
